Player,Nation,Age,Club,90 minutes played,Minutes played,Position,Passes completed,Passes attempted,Completed passes %,Total pass distance,Progressive pass distance,Short passes completed,Short passes attempted,Short passes completed %,Medium passes completed,Medium passes attempted,Medium passes completed %,Long passes completed,Long passes attempted,Long passes completed %,Assists,Expected Assisted Goals,Expected Assists,A minus xAG,Key Passes,Passes into final third,Passes into penalty area,Crosses into penalty area,Progressive passes,Shot creating actions,Shot creating actions per 90,Shot creating actions by live-ball passes,Shot creating actions by dead-ball passes,Successful Take-Ons that led to a shot,Shots that led to another shot attempt,Fouls drawn that led to a shot attempt,Defensive actions that led to a shot attempt,Goal creating actions,Goal creating actions per 90,Goal creating actions by live-ball passes,Goal creating actions by dead-ball passes,Successful Take-Ons that led to a goal,Shots that led to another goal-scoring shot,Fouls drawn that led to a goal,Defensive actions that led to a goal,Goals,Shots on target,Shots on target %,Shots per 90,Shots on target per 90,Goals per shot,Goals per shot on target,Average shooting distance,Shots from free kicks,Penalty kicks made,Penalty kicks attempted,Expected Goals,Non-penalty expected goals,Non-penalty expected goals/Shot,Goals minus expected Goals,Non-penalty goals minus non-penalty expected Goals,Tackles,Tackles won,Tackles in defensive 1/3,Tackles in middle 1/3,Tackles in attacking 1/3,Dribblers tackled,% of dribblers tackled,Challenges lost,Balls blocked,Passes blocked,Interceptions,Number of tackles and interceptions,Clearances,Errors,Tackles won %,Touches,Touches in defensive penalty area,Touches in defensive 1/3,Touches in middle 1/3,Touches in attacking 1/3,Touches in attacking penalty area,Live-ball touches,Take ons attempted,Successful take ons,Successful take ons %,Times tackled during take on,Times tackled during take on %,Times ball carried with feet,Total moved ball distance,Progressive moved ball distance,Progressive Carries,Carries into final 1/3,Carries into penalty area,Miscontrols,Dispossessed,Passes received,Progressive Passes Received,Yellow cards,Red cards,Second yellow card,Fouls committed,Offsides,Crosses,Penalty kicks won,Penalty kicks conceded,Own goals,Recoveries,Aerial duels won,Aerial duels won %
Ederson,BRA,24,Manchester City,38.0,3420,GK,1202.0,1397.0,86.0,29277.0,19991.0,261.0,261.0,100.0,669.0,680.0,98.4,269.0,448.0,60.0,2.0,0.4,0.2,1.6,5.0,15.0,2.0,0.0,4.0,7.0,0.15,4.0,3.0,0.0,0.0,0.0,0.0,2.0,0.04,1.0,1.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,3.0,3.0,2.0,1.0,0.0,3.0,100.0,0.0,0.0,0.0,3.0,6.0,13.0,3.0,1.0,1466.0,1234.0,1446.0,22.0,0.0,0.0,1466.0,1.0,1.0,100.0,0.0,0.0,920.0,4269.0,2993.0,0.0,0.0,0.0,1.0,0.0,785.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,78.0,14.0,100.0
Aymeric Laporte,ESP,24,Manchester City,34.0,3057,DF,3582.0,3898.0,91.9,64996.0,21426.0,1440.0,1511.0,95.3,1714.0,1799.0,95.3,353.0,476.0,74.2,3.0,1.1,2.1,1.9,15.0,343.0,7.0,0.0,387.0,50.0,1.14,46.0,0.0,2.0,2.0,0.0,0.0,7.0,0.16,7.0,0.0,0.0,0.0,0.0,0.0,5,9.0,25.0,0.74,0.19,0.14,0.56,15.0,0.0,0,0,3.5,3.5,0.11,1.5,1.5,54.0,31.0,34.0,18.0,2.0,26.0,61.9,16.0,20.0,8.0,59.0,109.0,135.0,5.0,0.5740740740740741,4253.0,235.0,1235.0,2770.0,261.0,38.0,4253.0,10.0,5.0,50.0,5.0,50.0,3213.0,17709.0,13281.0,118.0,103.0,2.0,16.0,7.0,3330.0,14.0,5.0,0.0,0.0,40.0,2.0,10.0,0.0,1.0,0.0,225.0,102.0,59.6
Bernardo Silva,POR,23,Manchester City,31.7,2854,MF,1791.0,2136.0,83.8,25099.0,5644.0,1070.0,1156.0,92.6,477.0,595.0,80.2,113.0,164.0,68.9,13.0,8.4,8.8,4.6,82.0,106.0,71.0,7.0,192.0,173.0,4.54,139.0,8.0,12.0,8.0,5.0,1.0,20.0,0.52,18.0,0.0,0.0,0.0,2.0,0.0,13,35.0,41.2,1.9,0.78,0.15,0.37,15.9,0.0,0,0,9.0,9.0,0.12,2.0,2.0,67.0,52.0,23.0,28.0,16.0,20.0,24.7,61.0,51.0,47.0,36.0,100.0,28.0,1.0,0.7761194029850746,2537.0,37.0,238.0,1088.0,1243.0,192.0,2537.0,108.0,64.0,59.3,44.0,40.7,1803.0,10898.0,5982.0,182.0,123.0,58.0,52.0,48.0,1876.0,325.0,3.0,0.0,0.0,45.0,3.0,94.0,2.0,0.0,0.0,200.0,12.0,27.9
Raheem Sterling,ENG,23,Manchester City,30.8,2771,FW,1415.0,1736.0,81.5,16084.0,3424.0,943.0,1043.0,90.4,285.0,372.0,76.6,28.0,65.0,43.1,14.0,13.1,10.8,0.9,92.0,31.0,70.0,6.0,117.0,198.0,4.89,133.0,3.0,32.0,15.0,14.0,1.0,34.0,0.84,21.0,1.0,6.0,0.0,6.0,0.0,25,55.0,48.7,2.47,1.2,0.22,0.45,14.2,1.0,0,0,16.7,16.7,0.17,5.3,5.3,42.0,25.0,15.0,14.0,13.0,13.0,31.7,28.0,34.0,31.0,27.0,66.0,9.0,0.0,0.5952380952380952,2252.0,13.0,106.0,746.0,1434.0,333.0,2252.0,203.0,113.0,55.7,89.0,43.8,1741.0,10293.0,5519.0,209.0,133.0,114.0,94.0,118.0,1857.0,571.0,5.0,0.0,0.0,63.0,21.0,103.0,4.0,0.0,0.0,156.0,18.0,36.7
Sergio Agüero,ARG,30,Manchester City,27.3,2459,FW,805.0,964.0,83.5,9350.0,1678.0,516.0,577.0,89.4,178.0,209.0,85.2,15.0,27.0,55.6,10.0,5.3,5.3,4.7,39.0,45.0,50.0,0.0,88.0,107.0,3.25,73.0,1.0,14.0,10.0,7.0,2.0,22.0,0.67,17.0,0.0,2.0,2.0,1.0,0.0,32,67.0,40.4,4.47,1.8,0.17,0.42,15.4,3.0,4,6,23.7,20.5,0.14,3.3,3.5,21.0,14.0,1.0,12.0,8.0,5.0,33.3,10.0,17.0,16.0,12.0,32.0,4.0,0.0,0.6666666666666666,1365.0,4.0,24.0,477.0,875.0,244.0,1361.0,95.0,56.0,58.9,39.0,41.1,1010.0,5564.0,2373.0,100.0,75.0,46.0,86.0,65.0,1097.0,303.0,7.0,0.0,0.0,29.0,33.0,20.0,0.0,0.0,0.0,79.0,23.0,47.9
Kyle Walker,ENG,28,Manchester City,30.9,2779,DF,2891.0,3283.0,88.1,48326.0,11902.0,1460.0,1541.0,94.7,1074.0,1197.0,89.7,281.0,392.0,71.7,1.0,2.1,2.7,-1.1,27.0,272.0,31.0,7.0,268.0,75.0,1.91,69.0,0.0,1.0,2.0,2.0,1.0,5.0,0.13,5.0,0.0,0.0,0.0,0.0,0.0,2,6.0,20.0,0.62,0.12,0.07,0.33,27.8,3.0,0,0,0.9,0.9,0.04,0.1,0.1,44.0,34.0,21.0,22.0,1.0,25.0,59.5,17.0,27.0,20.0,48.0,86.0,73.0,3.0,0.7727272727272727,3574.0,103.0,652.0,2186.0,765.0,38.0,3574.0,40.0,23.0,57.5,17.0,42.5,2293.0,11207.0,5669.0,107.0,98.0,18.0,32.0,16.0,2625.0,114.0,6.0,0.0,0.0,27.0,6.0,87.0,0.0,1.0,0.0,209.0,54.0,65.1
David Silva,ESP,32,Manchester City,26.7,2401,MF,2211.0,2616.0,84.5,29632.0,6708.0,1296.0,1437.0,90.2,629.0,736.0,85.5,103.0,152.0,67.8,11.0,10.6,11.2,0.4,92.0,174.0,97.0,5.0,322.0,189.0,5.46,156.0,9.0,6.0,13.0,4.0,1.0,25.0,0.72,22.0,1.0,0.0,0.0,1.0,1.0,10,25.0,32.5,1.87,0.61,0.13,0.4,13.7,5.0,0,0,9.7,9.7,0.15,-0.7,-0.7,41.0,28.0,14.0,17.0,10.0,2.0,7.7,24.0,26.0,25.0,32.0,70.0,19.0,0.0,0.6829268292682927,2867.0,22.0,202.0,1358.0,1322.0,239.0,2867.0,54.0,38.0,70.4,15.0,27.8,2037.0,9370.0,4621.0,138.0,119.0,39.0,35.0,41.0,2360.0,293.0,3.0,0.0,0.0,42.0,9.0,103.0,2.0,0.0,0.0,169.0,23.0,41.1
Fernandinho,BRA,33,Manchester City,26.4,2377,MF,2228.0,2565.0,86.9,36101.0,10922.0,1050.0,1142.0,91.9,921.0,1037.0,88.8,156.0,215.0,72.6,3.0,3.2,4.4,-0.2,27.0,300.0,50.0,0.0,318.0,88.0,2.62,77.0,0.0,1.0,2.0,4.0,4.0,11.0,0.33,9.0,0.0,0.0,0.0,1.0,1.0,1,8.0,20.0,1.07,0.21,0.03,0.13,22.9,0.0,0,0,1.8,1.8,0.05,-0.8,-0.8,70.0,56.0,22.0,39.0,9.0,29.0,51.8,27.0,39.0,28.0,65.0,130.0,87.0,1.0,0.8,2926.0,120.0,523.0,1959.0,471.0,30.0,2926.0,31.0,23.0,74.2,8.0,25.8,2020.0,9951.0,5793.0,72.0,76.0,2.0,30.0,20.0,2170.0,31.0,9.0,0.0,0.0,61.0,2.0,4.0,0.0,2.0,0.0,215.0,91.0,55.5
İlkay Gündoğan,GER,27,Manchester City,23.7,2137,MF,2317.0,2637.0,87.9,35758.0,8337.0,1196.0,1273.0,94.0,828.0,918.0,90.2,166.0,257.0,64.6,8.0,5.2,6.4,2.8,53.0,223.0,57.0,5.0,267.0,125.0,4.13,89.0,27.0,2.0,5.0,2.0,0.0,16.0,0.53,15.0,1.0,0.0,0.0,0.0,0.0,6,13.0,19.4,1.76,0.34,0.09,0.46,20.1,4.0,0,0,4.8,4.8,0.09,1.2,1.2,28.0,21.0,5.0,19.0,4.0,10.0,22.7,34.0,17.0,14.0,43.0,64.0,24.0,1.0,0.75,2868.0,47.0,270.0,1766.0,857.0,52.0,2868.0,31.0,25.0,80.6,6.0,19.4,1909.0,9638.0,5520.0,96.0,92.0,5.0,34.0,23.0,2263.0,107.0,4.0,0.0,0.0,26.0,0.0,149.0,0.0,0.0,0.0,199.0,31.0,49.2
Leroy Sané,GER,22,Manchester City,20.7,1867,FW,891.0,1146.0,77.7,10345.0,2257.0,581.0,663.0,87.6,185.0,247.0,74.9,21.0,62.0,33.9,17.0,10.8,9.0,6.2,53.0,18.0,39.0,3.0,82.0,111.0,4.41,70.0,11.0,15.0,6.0,8.0,1.0,21.0,0.84,18.0,0.0,3.0,0.0,0.0,0.0,16,35.0,40.2,2.9,1.17,0.18,0.46,17.1,7.0,0,0,8.3,8.3,0.12,5.7,5.7,30.0,27.0,8.0,11.0,11.0,3.0,10.3,26.0,24.0,21.0,13.0,40.0,4.0,0.0,0.9,1496.0,12.0,81.0,384.0,1059.0,212.0,1496.0,143.0,74.0,51.7,69.0,48.3,1141.0,6704.0,3285.0,110.0,55.0,57.0,86.0,60.0,1173.0,393.0,1.0,0.0,0.0,12.0,21.0,129.0,1.0,0.0,0.0,118.0,11.0,30.6
